Component_Name,Category,Price_INR,Efficiency,Reliability,Compatibility,Role
Tado Dehumidifier,HVAC,10356,8.31,8.53,"Wi-Fi, HomeKit",Humidity control
LIFX Wall Sconce,Lighting,1622,5.89,6.66,"Wi-Fi, Google Home, Alexa",Task lighting
Sensibo Temperature Sensor,HVAC,2113,5.63,5.77,"HomeKit, Google Home, Matter",Energy-efficient heating
Nanoleaf Desk Lamp,Lighting,4394,8.14,7.84,"HomeKit, Google Home, Matter",Decorative lighting
Curb Energy Display,Energy Management,5766,9.52,7.64,"Thread, Matter",Peak shaving
Blink Glass Break Detector,Security,7000,7.06,6.78,"Zigbee, Z-Wave",Safety monitoring
Philips Hue Floor Lamp,Lighting,5629,9.03,9.83,"Wi-Fi, HomeKit",Security lighting
Dyson Heat Pump Controller,HVAC,15455,10.0,10.0,"Wi-Fi, Google Home, Alexa",Air quality management
August Facial Recognition Camera,Security,9485,8.43,7.83,"HomeKit, Google Home, Matter",Remote surveillance
TP-Link Wall Sconce,Lighting,4080,8.33,7.51,"Z-Wave, Alexa",Energy-efficient lighting
Fujitsu Ventilation Controller,HVAC,11428,8.26,9.13,"Wi-Fi, Bluetooth",Climate control
Nest Doorbell Camera,Security,5980,6.96,7.14,"Wi-Fi, HomeKit",Safety monitoring
Reolink Doorbell Camera,Security,15740,10.0,9.9,"Zigbee, Z-Wave",Door security
Dyson Radiant Floor Controller,HVAC,15851,10.0,10.0,"Zigbee, Z-Wave",Energy-efficient heating
Eufy Glass Break Detector,Security,4081,7.74,6.22,"Z-Wave, Alexa",Perimeter monitoring
Ring Flood Sensor,Security,9556,8.25,8.35,"HomeKit, Google Home, Matter",Asset protection
Abode Alarm System,Security,4091,7.05,6.3,"Zigbee, Z-Wave",Door security
Wyze Floor Lamp,Lighting,1254,6.78,5.93,"HomeKit, Alexa",Security lighting
Eufy Alarm System,Security,6778,7.85,6.16,"Thread, Matter",Remote surveillance
August Motion Sensor,Security,9566,8.63,8.23,"Thread, Matter",Perimeter monitoring
LIFX Floor Lamp,Lighting,4576,8.62,8.18,"Wi-Fi, HomeKit",Automated lighting
Kwikset Security Camera,Security,16831,10.0,10.0,"HomeKit, Google Home, Matter",Remote surveillance
Lennox Ceiling Fan,HVAC,10378,8.66,8.33,"Wi-Fi, HomeKit",Zoned climate control
Cree Under Cabinet Light,Lighting,4993,9.03,8.69,"HomeKit, Google Home, Matter",Circadian rhythm lighting
Kangaroo Glass Break Detector,Security,6501,7.28,6.99,"Zigbee, Z-Wave",Asset protection
Meross Pathway Light,Lighting,1550,6.75,5.62,"Thread, Matter",Security lighting
Honeywell Heat Pump Controller,HVAC,10101,8.14,9.43,"HomeKit, Google Home, Matter",Ventilation management
Lennox Air Purifier,HVAC,4120,6.31,6.25,"HomeKit, Alexa",Zoned climate control
ADT Security Camera,Security,4990,7.5,6.78,"Wi-Fi, Bluetooth",Remote surveillance
Kangaroo Garage Door Controller,Security,16062,10.0,9.67,"Google Home, Alexa, Matter",Emergency detection
Fujitsu Heater,HVAC,3252,6.33,5.82,"Wi-Fi, Bluetooth",Energy-efficient heating
Honeywell Smart Thermostat,HVAC,8960,7.41,8.22,"Zigbee, Z-Wave",Ventilation management
Tesla Consumption Monitor,Energy Management,2867,8.26,7.06,"Wi-Fi, Bluetooth",Energy monitoring
Dyson Smart Thermostat,HVAC,8723,8.19,8.83,"Wi-Fi, Bluetooth",Climate control
Nest CO Detector,Security,10639,8.17,8.59,"Thread, Matter",Intrusion detection
SimpliSafe Perimeter Sensor,Security,5993,7.54,6.5,"Z-Wave, Alexa",Intrusion detection
Abode Smart Safe,Security,14051,9.91,9.26,"Wi-Fi, Google Home, Alexa",Safety monitoring
Meross Ceiling Light,Lighting,4790,8.19,9.35,"Wi-Fi, Google Home, Alexa",Decorative lighting
Govee Garden Light,Lighting,1190,6.44,5.74,"Google Home, Alexa, Matter",Task lighting
Cielo Radiant Floor Controller,HVAC,4521,6.93,6.4,"HomeKit, Alexa",Humidity control
Tesla Smart Meter,Energy Management,5839,9.09,8.39,"Wi-Fi, Google Home, Alexa",Energy optimization
Enphase Battery System,Energy Management,6297,10.0,8.22,"Z-Wave, Alexa",Power management
Eufy Security Camera,Security,11443,8.44,8.51,"Wi-Fi, Bluetooth",Intrusion detection
Emerson Temperature Sensor,HVAC,6817,7.22,7.73,"Google Home, Alexa, Matter",Air quality management
Blink Alarm System,Security,8028,8.63,6.7,"Wi-Fi, Google Home, Alexa",Remote surveillance
Honeywell Humidifier,HVAC,8640,8.64,8.3,"Zigbee, Z-Wave",Climate control
Span Grid Tie Inverter,Energy Management,8764,10.0,9.46,"Wi-Fi, Bluetooth",Demand response
Sense Power Strip,Energy Management,6745,9.4,8.64,"Zigbee, Z-Wave",Peak shaving
Blink Smart Safe,Security,11430,9.03,8.68,"Wi-Fi, HomeKit",Intrusion detection
Tado HVAC Zoning System,HVAC,6810,7.17,7.26,"Zigbee, Matter",Air quality management
Lutron Smart Plug,Energy Management,1471,6.94,6.07,"Zigbee, Z-Wave",Consumption tracking
Sylvania Color Light,Lighting,4230,9.0,8.19,"Thread, Matter",Security lighting
Honeywell AC Controller,HVAC,6760,7.05,7.16,"HomeKit, Alexa",Energy-efficient heating
Sense Solar Controller,Energy Management,3833,7.78,6.62,"Wi-Fi, Bluetooth",Renewable integration
GE Under Cabinet Light,Lighting,1231,5.52,5.47,"HomeKit, Alexa",Energy-efficient lighting
Mitsubishi Humidifier,HVAC,9511,7.87,8.74,"Wi-Fi, HomeKit",Temperature regulation
Govee Smart Bulb,Lighting,5605,9.57,9.26,"Wi-Fi, Bluetooth",Automated lighting
Ring Smart Safe,Security,13261,9.58,9.59,"Google Home, Alexa, Matter",Remote surveillance
Cielo AC Controller,HVAC,12076,8.98,9.38,"Wi-Fi, HomeKit",Humidity control
Rheem AC Controller,HVAC,3936,6.4,6.09,"Wi-Fi, Bluetooth",Climate control
Meross Outdoor Light,Lighting,4645,8.79,8.82,"HomeKit, Google Home, Matter",Task lighting
Mitsubishi Heater,HVAC,2726,6.32,5.62,"Thread, Matter",Zoned climate control
Wyze Pendant Light,Lighting,2909,8.31,6.92,"Google Home, Alexa, Matter",Security lighting
Sylvania Desk Lamp,Lighting,1692,7.54,6.47,"HomeKit, Google Home, Matter",Energy-efficient lighting
Wyze Glass Break Detector,Security,3933,6.85,6.3,"Thread, Matter",Safety monitoring
SolarEdge Energy Display,Energy Management,6247,9.02,7.97,"HomeKit, Alexa",Peak shaving
Tuya Track Light,Lighting,2018,7.04,6.76,"Wi-Fi, Google Home, Alexa",Task lighting
Kwikset Doorbell Camera,Security,13360,9.47,8.74,"Wi-Fi, Google Home, Alexa",Remote surveillance
Nest Alarm System,Security,5462,7.35,6.76,"Z-Wave, Alexa",Door security
Span Consumption Monitor,Energy Management,1236,7.29,5.2,"Z-Wave, Alexa",Renewable integration
Sense EV Charger,Energy Management,5236,8.83,7.88,"Wi-Fi, HomeKit",Renewable integration
Nest Heater,HVAC,4620,6.22,7.36,"Z-Wave, Alexa",Ventilation management
SimpliSafe Security Camera,Security,17927,10.0,10.0,"Google Home, Alexa, Matter",Asset protection
Sensibo AC Controller,HVAC,4312,6.41,6.52,"Thread, Matter",Air quality management
Logitech Perimeter Sensor,Security,5239,7.01,6.23,"Wi-Fi, HomeKit",Emergency detection
Kasa Track Light,Lighting,2504,6.68,6.59,"HomeKit, Google Home, Matter",Lighting control
Meross Pendant Light,Lighting,2516,7.56,7.28,"HomeKit, Alexa",Task lighting
SolarEdge Energy Monitor,Energy Management,3669,8.19,6.72,"HomeKit, Alexa",Peak shaving
Kasa Grid Tie Inverter,Energy Management,1756,7.18,5.83,"Z-Wave, Alexa",Peak shaving
Lennox Air Quality Monitor,HVAC,8506,7.87,8.06,"Wi-Fi, Google Home, Alexa",Allergen reduction
Arlo Smart Safe,Security,12821,9.56,8.92,"Google Home, Alexa, Matter",Asset protection
Ecobee Radiant Floor Controller,HVAC,15225,9.82,10.0,"Zigbee, Matter",Allergen reduction
Eve Energy Gateway,Energy Management,6844,9.61,8.41,"Google Home, Alexa, Matter",Energy monitoring
Kasa Under Cabinet Light,Lighting,2864,7.28,6.82,"Wi-Fi, Google Home, Alexa",Energy-efficient lighting
Arlo CO Detector,Security,6543,8.23,6.86,"HomeKit, Google Home, Matter",Safety monitoring
Wyze Motion Sensor,Security,7445,8.36,7.01,"Zigbee, Matter",Safety monitoring
Nest Air Quality Monitor,HVAC,4134,6.49,6.91,"Z-Wave, Alexa",Air quality management
ChargePoint Smart Meter,Energy Management,6284,9.06,8.25,"Thread, Matter",Peak shaving
Logitech Flood Sensor,Security,6579,7.57,6.68,"Wi-Fi, Bluetooth",Emergency detection
Leviton Consumption Monitor,Energy Management,2240,7.77,6.33,"HomeKit, Alexa",Energy optimization
ADT Flood Sensor,Security,2885,7.09,5.17,"Thread, Matter",Safety monitoring
Kasa Power Optimizer,Energy Management,7553,10.0,8.6,"Zigbee, Matter",Load balancing
Blink Smoke Detector,Security,7126,8.25,6.84,"Google Home, Alexa, Matter",Access control
Bosch Ventilation Controller,HVAC,13698,9.37,10.0,"Wi-Fi, HomeKit",Ventilation management
Sense Power Optimizer,Energy Management,2653,7.92,6.23,"HomeKit, Google Home, Matter",Renewable integration
Enphase Power Strip,Energy Management,8466,9.77,9.17,"Zigbee, Matter",Energy optimization
Emerson Ceiling Fan,HVAC,11078,8.46,9.39,"Wi-Fi, Google Home, Alexa",Energy-efficient heating
Sensibo Air Purifier,HVAC,3823,6.24,6.06,"Google Home, Alexa, Matter",Humidity control
Daikin Ventilation Controller,HVAC,6093,7.1,7.21,"HomeKit, Google Home, Matter",Humidity control
Reolink Garage Door Controller,Security,16906,10.0,10.0,"Zigbee, Matter",Perimeter monitoring
GE Track Light,Lighting,5465,9.04,9.19,"Zigbee, Matter",Decorative lighting
Span Smart Meter,Energy Management,3180,8.03,6.43,"Wi-Fi, HomeKit",Load balancing
Nest Security Camera,Security,5587,7.74,6.88,"Google Home, Alexa, Matter",Perimeter monitoring
Tado Smart Thermostat,HVAC,4255,5.8,6.45,"Wi-Fi, Google Home, Alexa",Ventilation management
LIFX Color Light,Lighting,1784,6.8,6.39,"Wi-Fi, HomeKit",Decorative lighting
Yeelight Pathway Light,Lighting,1390,7.05,5.21,"HomeKit, Google Home, Matter",Lighting control
Mitsubishi Temperature Sensor,HVAC,6044,6.99,7.33,"Zigbee, Matter",Energy-efficient heating
Cielo Ventilation Controller,HVAC,10725,9.21,9.44,"Wi-Fi, HomeKit",Air quality management
Arlo Window Sensor,Security,3875,6.34,5.85,"HomeKit, Alexa",Emergency detection
Eufy Security Camera,Security,12958,9.61,8.55,"Z-Wave, Alexa",Door security
Emerson Humidifier,HVAC,8644,8.16,7.96,"Wi-Fi, Bluetooth",Air quality management
Fujitsu Dehumidifier,HVAC,10586,9.29,8.82,"HomeKit, Google Home, Matter",Zoned climate control
Dyson Air Purifier,HVAC,3947,6.67,7.0,"Google Home, Alexa, Matter",Allergen reduction
Kangaroo Window Sensor,Security,4043,6.55,5.98,"Thread, Matter",Access control
Ring Garage Door Controller,Security,17710,10.0,10.0,"Zigbee, Matter",Access control
Tuya LED Strip,Lighting,1391,5.81,5.93,"HomeKit, Alexa",Circadian rhythm lighting
Lennox Radiant Floor Controller,HVAC,5720,6.71,7.0,"Wi-Fi, Bluetooth",Climate control
Eve Battery System,Energy Management,9832,10.0,9.94,"Wi-Fi, Google Home, Alexa",Load balancing
Blink Smoke Detector,Security,6044,6.94,6.3,"Wi-Fi, HomeKit",Asset protection
Schneider Power Optimizer,Energy Management,8533,10.0,9.45,"Zigbee, Matter",Load balancing
Honeywell Heat Pump Controller,HVAC,6041,6.96,7.03,"Z-Wave, Alexa",Allergen reduction
Arlo CO Detector,Security,3895,7.45,6.22,"Wi-Fi, Google Home, Alexa",Door security
Sense Smart Switch,Energy Management,3125,8.54,6.9,"Zigbee, Z-Wave",Consumption tracking
Emerson Temperature Sensor,HVAC,3870,6.88,6.36,"HomeKit, Google Home, Matter",Allergen reduction
Nest Heat Pump Controller,HVAC,9442,8.16,9.13,"Google Home, Alexa, Matter",Allergen reduction
Rheem Ventilation Controller,HVAC,12299,9.52,9.46,"Z-Wave, Alexa",Energy-efficient heating
Ring Facial Recognition Camera,Security,17014,10.0,10.0,"HomeKit, Google Home, Matter",Safety monitoring
Nest Doorbell Camera,Security,19981,10.0,10.0,"Google Home, Alexa, Matter",Perimeter monitoring
August Motion Sensor,Security,2953,7.3,6.01,"Wi-Fi, Google Home, Alexa",Asset protection
Kwikset Glass Break Detector,Security,4134,6.84,6.67,"Wi-Fi, Bluetooth",Perimeter monitoring
Dyson Ventilation Controller,HVAC,4793,6.06,6.96,"Thread, Matter",Zoned climate control
Yale Motion Sensor,Security,5702,7.17,6.5,"Wi-Fi, HomeKit",Door security
Juicebox Smart Meter,Energy Management,4865,8.85,6.78,"Wi-Fi, Google Home, Alexa",Demand response
August Alarm System,Security,14817,9.5,10.0,"Wi-Fi, HomeKit",Access control
Fujitsu Smart Thermostat,HVAC,8236,7.14,7.88,"Google Home, Alexa, Matter",Temperature regulation
LIFX Recessed Light,Lighting,1702,7.04,6.16,"Z-Wave, Alexa",Task lighting
Daikin Smart Thermostat,HVAC,2158,6.01,5.48,"Zigbee, Matter",Temperature regulation
Nest Window Sensor,Security,10744,8.32,8.2,"Google Home, Alexa, Matter",Intrusion detection
SolarEdge Grid Tie Inverter,Energy Management,7875,10.0,9.03,"HomeKit, Google Home, Matter",Peak shaving
Eve Consumption Monitor,Energy Management,8290,9.56,9.74,"HomeKit, Alexa",Demand response
GE Recessed Light,Lighting,4611,7.91,8.26,"Google Home, Alexa, Matter",Decorative lighting
Kasa Pendant Light,Lighting,2194,6.58,6.16,"Wi-Fi, Bluetooth",Security lighting
Kwikset Security Camera,Security,7464,8.48,7.5,"Wi-Fi, HomeKit",Intrusion detection
Yale Facial Recognition Camera,Security,6708,7.98,6.63,"Wi-Fi, Google Home, Alexa",Access control
LIFX Desk Lamp,Lighting,2947,7.57,7.06,"Thread, Matter",Decorative lighting
Bosch Air Purifier,HVAC,6648,7.34,7.25,"Google Home, Alexa, Matter",Humidity control
Kangaroo Doorbell Camera,Security,5396,7.93,6.97,"HomeKit, Google Home, Matter",Emergency detection
Nest Ceiling Fan,HVAC,6059,6.46,7.72,"Wi-Fi, Bluetooth",Energy-efficient heating
TP-Link LED Strip,Lighting,3738,7.63,7.27,"Zigbee, Matter",Automated lighting
Kasa Battery System,Energy Management,6156,9.67,7.83,"Google Home, Alexa, Matter",Energy monitoring
Wyze Pathway Light,Lighting,4823,8.15,8.43,"Wi-Fi, Google Home, Alexa",Task lighting
Emerson Radiant Floor Controller,HVAC,9430,8.13,8.09,"Wi-Fi, Google Home, Alexa",Ventilation management
Lennox Heat Pump Controller,HVAC,8897,7.56,8.39,"Zigbee, Matter",Ventilation management
Carrier AC Controller,HVAC,9276,8.31,7.99,"Google Home, Alexa, Matter",Zoned climate control
Reolink Doorbell Camera,Security,10406,8.42,7.64,"Thread, Matter",Emergency detection
Nest Glass Break Detector,Security,4127,6.83,7.14,"HomeKit, Google Home, Matter",Safety monitoring
Fujitsu Humidifier,HVAC,5568,6.56,7.46,"HomeKit, Alexa",Energy-efficient heating
Yale Glass Break Detector,Security,3390,6.63,5.9,"Z-Wave, Alexa",Remote surveillance
Leviton Battery System,Energy Management,2756,7.57,6.16,"Thread, Matter",Energy optimization
Rheem Air Quality Monitor,HVAC,2281,5.89,5.59,"Wi-Fi, HomeKit",Air quality management
Reolink Motion Sensor,Security,8980,8.39,7.31,"Thread, Matter",Intrusion detection
Nest HVAC Zoning System,HVAC,15501,10.0,10.0,"HomeKit, Google Home, Matter",Temperature regulation
TP-Link Smart Plug,Energy Management,2408,6.92,6.27,"HomeKit, Alexa",Demand response
Dyson Temperature Sensor,HVAC,5546,6.91,6.79,"Zigbee, Matter",Temperature regulation
Meross Under Cabinet Light,Lighting,5203,8.59,9.08,"HomeKit, Google Home, Matter",Task lighting
Ecobee Dehumidifier,HVAC,7802,7.37,8.19,"Google Home, Alexa, Matter",Temperature regulation
Juicebox Smart Plug,Energy Management,2214,7.21,6.59,"HomeKit, Alexa",Consumption tracking
Sylvania Ceiling Light,Lighting,5412,9.06,9.04,"Zigbee, Z-Wave",Automated lighting
Abode Alarm System,Security,15991,10.0,9.91,"HomeKit, Google Home, Matter",Asset protection
Eve Smart Meter,Energy Management,8087,9.93,9.12,"HomeKit, Google Home, Matter",Load balancing
Wemo Power Strip,Energy Management,5640,9.43,8.13,"Zigbee, Matter",Power management
Nest Smoke Detector,Security,9187,7.94,8.63,"HomeKit, Google Home, Matter",Door security
SolarEdge Consumption Monitor,Energy Management,6388,8.59,8.44,"Wi-Fi, Google Home, Alexa",Power management
Schneider Smart Switch,Energy Management,5233,8.78,7.67,"Google Home, Alexa, Matter",Energy optimization
Leviton Consumption Monitor,Energy Management,5983,9.01,8.01,"HomeKit, Alexa",Energy monitoring
Schneider Smart Plug,Energy Management,4430,8.68,7.26,"Wi-Fi, HomeKit",Consumption tracking
Honeywell Dehumidifier,HVAC,5173,7.09,6.4,"HomeKit, Alexa",Energy-efficient heating
Kwikset Facial Recognition Camera,Security,7303,8.13,7.23,"Zigbee, Z-Wave",Emergency detection
Honeywell Heat Pump Controller,HVAC,12042,8.89,9.8,"HomeKit, Google Home, Matter",Zoned climate control
SimpliSafe Facial Recognition Camera,Security,11939,9.07,8.53,"Zigbee, Z-Wave",Emergency detection
Bosch Humidifier,HVAC,5726,7.34,7.47,"HomeKit, Google Home, Matter",Zoned climate control
Reolink Smoke Detector,Security,4190,6.62,6.51,"Zigbee, Z-Wave",Safety monitoring
Tesla EV Charger,Energy Management,7587,10.0,9.95,"Zigbee, Z-Wave",Demand response
Honeywell Radiant Floor Controller,HVAC,9059,7.99,8.25,"HomeKit, Google Home, Matter",Climate control
August Perimeter Sensor,Security,5834,7.87,7.53,"HomeKit, Alexa",Asset protection
Tuya Wall Sconce,Lighting,3789,9.27,7.81,"Wi-Fi, HomeKit",Security lighting
GE LED Strip,Lighting,3663,7.96,7.35,"Zigbee, Matter",Decorative lighting
Sensibo Dehumidifier,HVAC,10234,8.65,8.97,"HomeKit, Google Home, Matter",Temperature regulation
Mitsubishi Humidifier,HVAC,8570,7.7,8.25,"HomeKit, Google Home, Matter",Ventilation management
SimpliSafe Perimeter Sensor,Security,2714,6.07,5.42,"Z-Wave, Alexa",Safety monitoring
GE Outdoor Light,Lighting,940,5.79,5.52,"Google Home, Alexa, Matter",Energy-efficient lighting
SimpliSafe Motion Sensor,Security,8012,8.23,7.97,"Zigbee, Matter",Intrusion detection
SimpliSafe Smoke Detector,Security,4541,7.46,5.97,"Google Home, Alexa, Matter",Emergency detection
Reolink Smart Safe,Security,9811,8.65,7.7,"Zigbee, Matter",Safety monitoring
Kasa Smart Bulb,Lighting,4897,8.52,8.18,"Wi-Fi, HomeKit",Security lighting
Logitech Facial Recognition Camera,Security,15358,9.68,9.63,"HomeKit, Alexa",Remote surveillance
Sense Energy Display,Energy Management,4379,8.47,6.73,"Zigbee, Z-Wave",Renewable integration
Span Smart Switch,Energy Management,4854,9.02,7.18,"HomeKit, Alexa",Peak shaving
ADT Alarm System,Security,12386,9.83,8.64,"Wi-Fi, Google Home, Alexa",Remote surveillance
Bosch Heater,HVAC,11600,9.05,8.66,"Wi-Fi, HomeKit",Energy-efficient heating
Schlage Doorbell Camera,Security,14880,10.0,9.59,"Zigbee, Matter",Intrusion detection
Rheem Radiant Floor Controller,HVAC,6097,7.13,6.75,"Zigbee, Matter",Humidity control
SimpliSafe Garage Door Controller,Security,14367,10.0,9.22,"Zigbee, Matter",Asset protection
Sylvania Wall Sconce,Lighting,5615,8.59,9.32,"Zigbee, Matter",Circadian rhythm lighting
Bosch Heat Pump Controller,HVAC,8699,8.17,8.01,"Zigbee, Matter",Climate control
Bosch Humidifier,HVAC,9227,8.44,8.56,"Google Home, Alexa, Matter",Ventilation management
Honeywell Heater,HVAC,7010,6.92,8.15,"Wi-Fi, HomeKit",Climate control
Tado Heater,HVAC,11776,9.18,9.53,"Google Home, Alexa, Matter",Temperature regulation
Bosch HVAC Zoning System,HVAC,3630,5.55,6.2,"Thread, Matter",Zoned climate control
Arlo Smart Lock,Security,5352,7.79,6.9,"Google Home, Alexa, Matter",Access control
Daikin Ventilation Controller,HVAC,10327,7.88,9.06,"HomeKit, Alexa",Allergen reduction
August Smart Safe,Security,4678,7.07,7.47,"Zigbee, Matter",Emergency detection
Arlo Doorbell Camera,Security,4519,7.33,5.68,"Zigbee, Z-Wave",Intrusion detection
Schlage Perimeter Sensor,Security,5729,6.83,5.96,"Zigbee, Z-Wave",Remote surveillance
Tuya Pathway Light,Lighting,4808,8.93,9.07,"HomeKit, Google Home, Matter",Security lighting
Wyze Pathway Light,Lighting,1990,6.5,6.68,"Wi-Fi, Google Home, Alexa",Lighting control
Tado HVAC Zoning System,HVAC,10843,8.36,8.73,"Google Home, Alexa, Matter",Humidity control
Fujitsu Heater,HVAC,7189,7.08,7.52,"Google Home, Alexa, Matter",Allergen reduction
Eufy Motion Sensor,Security,8704,8.43,7.77,"Zigbee, Z-Wave",Asset protection
Rheem Ceiling Fan,HVAC,4475,6.46,6.02,"Zigbee, Z-Wave",Ventilation management
Carrier Ceiling Fan,HVAC,9397,8.76,8.72,"Google Home, Alexa, Matter",Climate control
Tado Ventilation Controller,HVAC,10979,8.17,8.72,"HomeKit, Alexa",Zoned climate control
Reolink Security Camera,Security,8999,8.99,7.71,"Z-Wave, Alexa",Emergency detection
Sensibo Humidifier,HVAC,6211,7.01,6.98,"Zigbee, Z-Wave",Zoned climate control
ADT Motion Sensor,Security,5619,7.42,6.61,"Wi-Fi, Bluetooth",Perimeter monitoring
ADT Window Sensor,Security,5374,7.37,6.0,"HomeKit, Alexa",Perimeter monitoring
Bosch Ventilation Controller,HVAC,5493,7.22,6.81,"Z-Wave, Alexa",Ventilation management
Tado Dehumidifier,HVAC,5083,7.1,6.37,"Wi-Fi, Bluetooth",Allergen reduction
Tado HVAC Zoning System,HVAC,10123,7.41,8.6,"Google Home, Alexa, Matter",Air quality management
Tuya Pendant Light,Lighting,5243,9.34,9.15,"Wi-Fi, HomeKit",Lighting control
Sense Smart Meter,Energy Management,3568,8.09,7.08,"Wi-Fi, Google Home, Alexa",Load balancing
Span Load Controller,Energy Management,5837,9.41,7.67,"Wi-Fi, Bluetooth",Demand response
Kangaroo Facial Recognition Camera,Security,8645,8.27,7.42,"HomeKit, Alexa",Remote surveillance
Daikin Heat Pump Controller,HVAC,12715,8.82,9.52,"HomeKit, Google Home, Matter",Energy-efficient heating
Eufy Security Camera,Security,13543,8.98,8.68,"Google Home, Alexa, Matter",Remote surveillance
Sensibo Air Quality Monitor,HVAC,4496,6.03,6.02,"Google Home, Alexa, Matter",Climate control
Nest Heater,HVAC,11577,9.03,9.67,"Wi-Fi, Google Home, Alexa",Allergen reduction
Sylvania Mood Light,Lighting,2990,7.51,7.15,"Wi-Fi, Google Home, Alexa",Circadian rhythm lighting
Feit Electric Wall Sconce,Lighting,2626,7.38,7.51,"Zigbee, Matter",Ambiance management
Eve Power Optimizer,Energy Management,8829,10.0,9.59,"Wi-Fi, HomeKit",Load balancing
Fujitsu Heater,HVAC,9693,8.12,8.35,"Zigbee, Z-Wave",Air quality management
Nest Ceiling Fan,HVAC,10521,8.31,9.25,"Google Home, Alexa, Matter",Zoned climate control
Yeelight Pathway Light,Lighting,5161,8.85,8.91,"Google Home, Alexa, Matter",Circadian rhythm lighting
Lutron Load Controller,Energy Management,6059,8.77,8.08,"Thread, Matter",Consumption tracking
Carrier Smart Thermostat,HVAC,6917,7.01,7.75,"Wi-Fi, HomeKit",Air quality management
Cree Ceiling Light,Lighting,3330,7.28,7.35,"Wi-Fi, HomeKit",Automated lighting
Dyson Air Quality Monitor,HVAC,5550,6.95,7.44,"Zigbee, Z-Wave",Energy-efficient heating
Sengled Garden Light,Lighting,4479,8.74,8.37,"Google Home, Alexa, Matter",Decorative lighting
Kangaroo Alarm System,Security,15545,9.78,9.63,"HomeKit, Alexa",Remote surveillance
Sengled Garden Light,Lighting,5285,8.36,9.33,"Zigbee, Z-Wave",Task lighting
Bosch Temperature Sensor,HVAC,3553,5.77,6.1,"Thread, Matter",Humidity control
Leviton Smart Meter,Energy Management,5050,8.99,7.89,"Wi-Fi, Google Home, Alexa",Peak shaving
August CO Detector,Security,9535,8.22,8.16,"Wi-Fi, Google Home, Alexa",Remote surveillance
Sensibo Smart Thermostat,HVAC,10591,8.51,8.72,"HomeKit, Google Home, Matter",Allergen reduction
Curb Energy Monitor,Energy Management,2838,7.44,6.12,"HomeKit, Google Home, Matter",Energy optimization
Sense Smart Switch,Energy Management,2603,8.01,5.77,"HomeKit, Alexa",Renewable integration
Emporia Solar Controller,Energy Management,6317,8.88,8.06,"Google Home, Alexa, Matter",Peak shaving
Eufy Smart Safe,Security,10370,8.16,7.95,"Zigbee, Z-Wave",Door security
Yale Garage Door Controller,Security,14081,9.22,9.18,"Zigbee, Matter",Asset protection
Emerson Smart Thermostat,HVAC,8140,7.42,7.18,"HomeKit, Google Home, Matter",Allergen reduction
Rheem Ventilation Controller,HVAC,5293,6.81,7.23,"HomeKit, Google Home, Matter",Temperature regulation
Wyze Doorbell Camera,Security,11388,9.03,8.01,"Google Home, Alexa, Matter",Intrusion detection
Arlo Doorbell Camera,Security,15026,10.0,9.68,"HomeKit, Alexa",Perimeter monitoring
ChargePoint Energy Monitor,Energy Management,4242,8.69,6.67,"Wi-Fi, Bluetooth",Consumption tracking
Ecobee Temperature Sensor,HVAC,4698,6.17,6.94,"Wi-Fi, HomeKit",Air quality management
Fujitsu Air Purifier,HVAC,7827,7.38,8.0,"Wi-Fi, Google Home, Alexa",Allergen reduction
Nanoleaf LED Strip,Lighting,1393,5.48,5.82,"Z-Wave, Alexa",Ambiance management
Logitech Glass Break Detector,Security,3459,6.65,6.11,"Google Home, Alexa, Matter",Intrusion detection
Lennox Ceiling Fan,HVAC,4672,6.89,6.23,"Wi-Fi, Google Home, Alexa",Temperature regulation
Emerson AC Controller,HVAC,3571,5.97,6.01,"Wi-Fi, HomeKit",Humidity control
Yale Smart Lock,Security,10933,9.72,8.02,"Zigbee, Z-Wave",Remote surveillance
SimpliSafe Smart Safe,Security,13541,9.21,8.38,"Wi-Fi, Google Home, Alexa",Door security
ChargePoint Energy Monitor,Energy Management,8288,9.92,9.19,"HomeKit, Alexa",Demand response
Cielo Heat Pump Controller,HVAC,12047,9.0,9.6,"HomeKit, Google Home, Matter",Climate control
TP-Link Wall Sconce,Lighting,1831,6.55,6.35,"Thread, Matter",Lighting control
Kasa EV Charger,Energy Management,1607,6.21,5.76,"Zigbee, Matter",Demand response
August Smart Safe,Security,14117,9.36,9.32,"HomeKit, Google Home, Matter",Access control
Sense Power Optimizer,Energy Management,5694,8.59,7.27,"Zigbee, Z-Wave",Peak shaving
Honeywell HVAC Zoning System,HVAC,11964,9.46,9.7,"Zigbee, Matter",Energy-efficient heating
Nest Ceiling Fan,HVAC,8311,7.39,8.48,"Zigbee, Matter",Humidity control
Nest CO Detector,Security,10495,8.98,8.95,"Wi-Fi, Bluetooth",Access control
Nanoleaf Smart Bulb,Lighting,3809,7.68,7.55,"HomeKit, Alexa",Lighting control
Leviton Load Controller,Energy Management,10369,10.0,10.0,"HomeKit, Alexa",Consumption tracking
Sensibo AC Controller,HVAC,5196,6.59,6.46,"Zigbee, Z-Wave",Temperature regulation
SimpliSafe Flood Sensor,Security,2769,7.16,6.13,"Wi-Fi, HomeKit",Access control
Cielo Temperature Sensor,HVAC,5583,6.97,7.25,"Z-Wave, Alexa",Allergen reduction
